procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 217778884  37456 25773280    0    0     0     0 1184  284  6  2 92  0  0  0
 1  0      0 217970100  37464 25773280    0    0     0    32 1150  220  8  0 92  0  0  0
 1  0      0 217790084  37464 25773280    0    0     0     0 1166  242  6  2 92  0  0  0
 1  0      0 218342752  37464 25773280    0    0     0     0 1145  232  8  1 92  0  0  0
 1  0      0 217791740  37472 25773296    0    0     0    24 1168  219  7  2 92  0  0  0
 1  0      0 218367152  37472 25773296    0    0     0     0 1144  230  7  1 92  0  0  0
 1  0      0 217814812  37472 25773296    0    0     0     2 1142  195  7  1 92  0  0  0
 1  0      0 218400700  37480 25773412    0    0     0    16 1304  343  7  1 92  0  0  0
 1  0      0 217812736  37480 25773268    0    0     0     0 1203  237  7  1 92  0  0  0
 1  0      0 218133280  37480 25773284    0    0     0     0 1141  232  7  2 92  0  0  0
 1  0      0 217810192  37488 25773284    0    0     0    42 1164  224  8  1 92  0  0  0
 1  0      0 217961152  37488 25773316    0    0     0     0 1141  224  7  2 92  0  0  0
 1  0      0 217815472  37488 25773316    0    0     0     0 1153  212  8  0 92  0  0  0
 1  0      0 217885892  37496 25773284    0    0     0    40 1177  254  6  2 92  0  0  0
 1  0      0 217812032  37496 25773284    0    0     0     0 1136  193  8  0 92  0  0  0
 1  0      0 217784512  37504 25773316    0    0     0    10 1147  250  6  2 92  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 217811012  37504 25773316    0    0     0     6 1140  182  8  0 92  0  0  0
 1  0      0 217784140  37504 25773304    0    0     0     0 1161  264  6  2 92  0  0  0
 1  0      0 217810640  37512 25773304    0    0     0    10 1136  189  8  0 92  0  0  0
 1  0      0 217781596  37512 25773272    0    0     0     8 1186  258  6  2 92  0  0  0
 1  0      0 217783520  37512 25773276    0    0     0     2 2048  684  9  0 91  0  0  0
 1  0      0 217779996  37520 25773284    0    0     0    26 1164  270  6  2 92  0  0  0
 1  0      0 217783148  37520 25773292    0    0     0    12 1145  192  8  0 92  0  0  0
 1  0      0 217784240  37520 25773292    0    0     0     0 1165  266  6  2 92  0  0  0
 1  0      0 217787556  37528 25773292    0    0     0    32 1135  181  8  0 92  0  0  0
 1  0      0 217790220  37528 25773324    0    0     0     6 1174  261  6  2 92  0  0  0
 1  0      0 217793164  37528 25773324    0    0     0     0 1126  181  8  0 92  0  0  0
 1  0      0 217785484  37536 25773292    0    0     0    20 1169  264  6  2 92  0  0  0
 1  0      0 218337984  37536 25773292    0    0     0     6 1152  231  8  0 92  0  0  0
 1  0      0 217781764  37536 25773276    0    0     0     0 1149  210  6  2 92  0  0  0
 1  0      0 218342024  37544 25773268    0    0     0    12 1168  263  8  0 92  0  0  0
 1  0      0 217777880  37544 25773308    0    0     0     6 1140  186  7  2 92  0  0  0
 1  0      0 218365300  37544 25773308    0    0     0     0 1179  267  7  1 92  0  0  0
 1  0      0 217776468  37552 25773276    0    0     0    10 1135  195  7  1 92  0  0  0
 1  0      0 218347300  37552 25773292    0    0     0     6 1167  255  7  1 92  0  0  0
 1  0      0 217790444  37552 25773292    0    0     0     0 1134  187  7  1 92  0  0  0
 1  0      0 218078744  37560 25773292    0    0     0    10 1159  247  7  2 92  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 217788164  37560 25773292    0    0     0     6 1152  205  8  1 92  0  0  0
 1  0      0 217933472  37560 25773276    0    0     0     0 1153  238  6  2 92  0  0  0
 1  0      0 217787792  37568 25773276    0    0     0    10 1137  193  8  0 92  0  0  0
 1  0      0 217858976  37568 25773292    0    0     0     6 1168  258  6  2 92  0  0  0
 1  0      0 217807832  37568 25773288    0    0     0     0 1769  585  8  0 91  0  0  0
 1  0      0 217778240  37576 25773308    0    0     0    16 1185  309  6  2 92  0  0  0
 1  0      0 217804740  37576 25773308    0    0     0     6 1152  180  8  0 92  0  0  0
 1  0      0 217777868  37576 25773292    0    0     0     4 1210  318  6  2 92  0  0  0
 1  0      0 217804376  37584 25773284    0    0     0    18 1130  172  8  0 92  0  0  0
 1  0      0 217777504  37584 25773308    0    0     0     6 1172  261  6  2 92  0  0  0
 1  0      0 217804004  37584 25773308    0    0     0     0 1128  172  8  0 92  0  0  0
 1  0      0 217798544  37592 25773284    0    0     0    12 1179  278  6  2 92  0  0  0
 1  0      0 217801696  37592 25773292    0    0     0     6 1128  165  8  0 92  0  0  0
 1  0      0 217801008  37592 25773324    0    0     0     0 1178  283  6  2 92  0  0  0
 1  0      0 217803952  37600 25773324    0    0     0    10 1120  159  8  0 92  0  0  0
 1  0      0 217797544  37600 25773276    0    0     0     6 1188  288  6  2 92  0  0  0
 1  0      0 217800696  37600 25773276    0    0     0     0 1123  164  8  0 92  0  0  0
 1  0      0 217798848  37608 25773260    0    0     0    12 1178  273  6  2 92  0  0  0
 1  0      0 218216712  37608 25773260    0    0     0     6 1142  211  8  0 92  0  0  0
 1  0      0 217788052  37608 25773308    0    0     0     0 1154  223  6  2 92  0  0  0
 1  0      0 218359564  37616 25773300    0    0     0    12 1191  268  8  0 92  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 217799672  37616 25773292    0    0     0     6 1153  204  7  2 92  0  0  0
 1  0      0 218386064  37616 25773296    0    0     0     0 1144  233  7  1 92  0  0  0
 1  0      0 217797864  37624 25773300    0    0     0    10 1146  211  7  1 92  0  0  0
 1  0      0 218346024  37628 25773312    0    0     0     8 1155  229  7  1 92  0  0  0
 1  0      0 217803480  37628 25773316    0    0     0     0 1178  230  7  1 92  0  0  0
 1  0      0 218058764  37636 25773300    0    0     0    32 2058  735  8  2 91  0  0  0
 1  0      0 217796216  37636 25773300    0    0     0     6 1159  221  8  1 92  0  0  0
 1  0      0 217951752  37636 25773300    0    0     0     4 1180  251  7  2 92  0  0  0
 1  0      0 217799092  37644 25773300    0    0     0    32 1230  248  8  0 92  0  0  0
 1  0      0 217855804  37644 25773300    0    0     0     6 1162  258  6  2 92  0  0  0
 1  0      0 217797820  37644 25773300    0    0     0     4 1142  197  8  0 92  0  0  0
 1  0      0 217770948  37652 25773316    0    0     0    14 1168  261  6  2 92  0  0  0
 1  0      0 217797448  37652 25773316    0    0     0     6 1148  187  8  0 92  0  0  0
 1  0      0 217769700  37652 25773284    0    0     0     0 1240  289  6  2 92  0  0  0
 1  0      0 217796200  37660 25773284    0    0     0    12 1152  220  8  0 92  0  0  0
 1  0      0 217766916  37660 25773348    0    0     0     8 1169  248  6  2 92  0  0  0
 1  0      0 217793416  37660 25773348    0    0     0     0 1140  189  8  0 92  0  0  0
 1  0      0 217774608  37668 25773276    0    0     0    12 1163  252  6  2 92  0  0  0
 1  0      0 217801108  37668 25773284    0    0     0     6 1146  186  8  0 92  0  0  0
 1  0      0 217795184  37668 25773300    0    0     0     0 1160  274  6  2 92  0  0  0
 1  0      0 217798336  37676 25773300    0    0     0    12 1131  179  8  0 92  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 217794164  37676 25773300    0    0     0     6 1173  267  6  2 92  0  0  0
 1  0      0 217797316  37676 25773300    0    0     0     0 1126  172  8  0 92  0  0  0
 1  0      0 217788132  37684 25773292    0    0     0    12 1166  261  6  2 92  0  0  0
 1  0      0 217795480  37684 25773300    0    0     0     6 1151  219  8  0 92  0  0  0
 1  0      0 217776184  37684 25773284    0    0     0     0 1153  220  6  2 92  0  0  0
 1  0      0 218363492  37692 25773284    0    0     0    18 1896  692  8  1 91  0  0  0
 1  0      0 217799508  37692 25773284    0    0     0     6 1149  203  7  2 92  0  0  0
 1  0      0 218386916  37692 25773284    0    0     0     0 1159  248  8  1 92  0  0  0
 1  0      0 217798488  37700 25773284    0    0     0    20 1154  208  7  1 92  0  0  0
 1  0      0 218394432  37700 25773284    0    0     0     6 1160  249  7  1 92  0  0  0
 1  0      0 217805716  37700 25773284    0    0     0     4 1146  194  7  1 92  0  0  0
 1  0      0 218221748  37708 25773308    0    0     0    10 1160  253  7  1 92  0  0  0
 1  0      0 217801892  37708 25773316    0    0     0     6 1145  189  8  1 92  0  0  0
 1  0      0 217952936  37708 25773284    0    0     0     0 1168  260  7  2 92  0  0  0
 1  0      0 217799004  37716 25773276    0    0     0    10 1130  191  8  0 92  0  0  0
 1  0      0 217900660  37716 25773300    0    0     0     6 1176  258  6  2 92  0  0  0
 1  0      0 217802888  37716 25773300    0    0     0     0 1131  177  8  0 92  0  0  0
 1  0      0 217775724  37724 25773276    0    0     0    10 1167  272  6  2 92  0  0  0
 1  0      0 217798128  37724 25773284    0    0     0     6 1144  190  8  0 92  0  0  0
 1  0      0 217775700  37724 25773300    0    0     0     0 1164  266  6  2 92  0  0  0
