procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 218377872  30848 25743844    0    0     0    10 1164  247  7  1 92  0  0  0
 1  0      0 218526732  30848 25743836    0    0     0     5 1163  248  7  1 92  0  0  0
 1  0      0 218372904  30856 25743888    0    0     0     3 1185  249  7  1 92  0  0  0
 1  0      0 218537988  30864 25743840    0    0     0     7 1168  251  7  1 92  0  0  0
 1  0      0 218373060  30872 25743872    0    0     0     8 1169  246  7  1 92  0  0  0
 1  0      0 218369028  30880 25743840    0    0     0    10 1427  406  7  1 92  0  0  0
 1  0      0 218356336  30888 25743856    0    0     0     9 1173  260  7  1 92  0  0  0
 1  0      0 218366008  30896 25743880    0    0     0     6 1159  233  7  1 92  0  0  0
 1  0      0 218376804  30896 25743888    0    0     0     0 1180  258  7  1 92  0  0  0
 1  0      0 218589308  30904 25743872    0    0     0     4 1183  255  8  1 92  0  0  0
 1  0      0 218959220  30912 25743840    0    0     0     6 1185  278  8  0 92  0  0  0
 1  0      0 218947600  30920 25743856    0    0     0     6 1656  679  8  1 91  0  0  0
 1  0      0 218956148  30928 25743876    0    0     0    11 1300  497  8  0 92  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 218955864  30936 25743868    0    0     0    10 1302  494  8  1 92  0  0  0
 1  0      0 218952024  30936 25743860    0    0     0     1 1292  482  8  0 92  0  0  0
 1  0      0 218955996  30944 25743844    0    0     0     3 1296  486  8  1 92  0  0  0
 1  0      0 218956188  30952 25743860    0    0     0     3 1296  498  8  0 92  0  0  0
 1  0      0 218955516  30960 25743860    0    0     0     6 1531  655  8  1 92  0  0  0
 1  0      0 218925484  30968 25743860    0    0     0     7 1279  486  8  1 92  0  0  0
 1  0      0 218922304  30976 25743976    0    0     0     4 1281  493  8  0 92  0  0  0
 1  0      0 218935524  30984 25743864    0    0     0     4 1282  493  8  0 92  0  0  0
 1  0      0 218922468  30984 25743896    0    0     0     2 1279  485  8  1 92  0  0  0
 1  0      0 218922076  30992 25743868    0    0     0     5 1528  642  8  1 92  0  0  0
 1  0      0 218922284  31000 25744000    0    0     0     9 1286  500  8  0 92  0  0  0
 1  0      0 218931388  31008 25743872    0    0     0     8 1279  487  8  0 92  0  0  0
 1  0      0 218935380  31016 25743888    0    0     0     9 1293  494  8  0 92  0  0  0
 1  0      0 218934944  31024 25743896    0    0     0     6 1275  486  8  0 92  0  0  0
 1  0      0 218935260  31024 25743856    0    0     0     1 1275  481  8  0 92  0  0  0
 1  0      0 218917708  31032 25743872    0    0     0     6 1646  677  8  1 91  0  0  0
 1  0      0 218921416  31040 25743872    0    0     0    10 1293  509  8  1 92  0  0  0
 1  0      0 218935496  31048 25743888    0    0     0     9 1278  489  8  1 92  0  0  0
 1  0      0 218933928  31056 25743872    0    0     0     4 1312  523  8  1 92  0  0  0
 1  0      0 218930232  31064 25743904    0    0     0     4 1292  518  8  0 92  0  0  0
 1  0      0 218921300  31064 25743856    0    0     0     1 1321  527  8  1 92  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 219025492  31072 25715020    0    0     0     7 1472  522  8  0 91  0  0  0
 1  0      0 218194996  31084 25715752    0    0     0    43 1169  230  7  1 92  0  0  0
 1  0      0 218175432  31092 25715736    0    0     0    39 1154  226  7  1 92  0  0  0
 1  0      0 218423668  31100 25715752    0    0     0     4 1148  229  7  1 92  0  0  0
 1  0      0 218484088  31108 25715736    0    0     0     3 1147  228  7  1 92  0  0  0
 1  0      0 218458400  31108 25715768    0    0     0     1 1151  226  7  1 92  0  0  0
 1  0      0 218202764  31116 25715792    0    0     0     4 1435  412  7  1 92  0  0  0
 1  0      0 218195636  31124 25715744    0    0     0   263 1159  237  7  1 92  0  0  0
 1  0      0 218200636  31132 25715728    0    0     0    15 1154  227  7  1 92  0  0  0
 2  0      0 218290952  31140 25715744    0    0     0    14 1154  228  7  1 92  0  0  0
 1  0      0 218920980  31148 25715792    0    0     0     3 1243  431  8  0 92  0  0  0
